Height,Weight
68.39,157.99
65.97,143.6
68.96,143.98
72.29,147.47
65.61,139.58
65.61,135.92
72.5,166.75
69.42,152.52
64.72,140.57
68.56,135.4
64.74,143.87
64.73,130.4
67.42,162.61
59.23,99.96
59.95,131.63
64.36,129.08
62.65,112.73
67.69,132.89
63.05,118.13
61.13,120.17
72.07,160.72
65.64,124.43
66.76,135.03
61.09,140.62
64.43,147.68
50.0,141.15
62.13,119.11
67.93,140.98
64.22,133.55
65.39,118.14
64.21,123.08
73.54,139.72
66.45,139.01
62.48,127.7
69.63,139.85
61.86,136.59
67.29,122.55
59.05,90.02
61.45,118.92
67.25,149.66
69.31,164.71
67.15,131.24
66.06,145.76
65.36,129.82
60.88,112.1
63.76,135.16
64.75,135.93
70.52,129.94
67.81,156.82
59.8,126.84
67.73,131.33
65.04,133.88
63.93,131.07
68.82,145.9
70.42,141.9
70.04,139.08
63.31,122.61
65.32,144.24
67.76,145.45
70.21,143.3
64.68,75.0
65.79,97.68
62.3,133.05
61.95,97.16
69.59,141.17
71.65,139.52
66.23,117.88
70.31,162.06
67.87,133.73
64.05,129.73
67.87,138.78
72.34,161.16
66.36,134.83
72.45,140.41
56.54,110.52
69.62,139.72
66.83,116.91
65.36,125.17
66.85,153.66
58.95,117.41
65.67,127.21
67.86,135.09
72.12,150.76
64.53,152.23
63.43,127.92
64.59,132.7
69.98,159.29
67.75,141.76
64.49,124.04
68.45,139.07
66.87,134.87
70.18,147.2
63.83,133.53
65.25,130.54
65.01,137.83
60.94,113.41
67.63,139.39
67.49,113.99
66.52,145.47
65.61,135.35
61.12,127.01
64.9,93.89
65.2,154.77
63.45,121.75
65.89,145.49
68.04,127.45
73.67,167.56
67.16,124.15
67.48,130.44
66.22,156.35
59.21,105.86
66.4,136.65
66.73,145.66
75.86,174.05
65.77,133.57
67.65,142.9
66.37,162.77
62.06,117.72
70.84,152.45
69.36,157.29
69.51,158.49
63.04,136.2
71.83,161.25
61.17,101.51
68.73,162.03
74.82,150.61
62.74,124.48
64.35,117.6
66.88,134.99
64.59,131.46
60.61,117.04
66.76,140.4
62.46,139.23
68.3,146.32
63.01,118.89
72.39,167.17
63.52,137.96
65.28,115.26
69.59,152.7
61.82,125.98
67.36,133.94
71.47,168.79
60.39,110.61
67.2,138.43
67.49,135.88
69.47,145.28
61.8,104.32
61.48,99.06
68.48,160.67
67.63,128.3
67.45,125.93
67.82,113.3
63.92,117.43
67.38,121.7
67.61,158.11
63.79,136.75
73.59,151.67
68.3,167.91
61.97,129.88
68.99,139.48
62.8,91.07
69.49,172.66
70.9,133.57
63.38,103.43
70.16,159.85
68.07,169.32
69.62,162.26
73.71,167.12
65.57,138.18
