Age,Salary,Gender,Date,Purchase_Amount,Experience,Rating,Salary_Before,Age_Before,Salary_Scaled,Age_Scaled,City_Delhi,City_Hyderabad,City_Mumbai,Total_Spending,Year,Month,Day,Weekday,Age_Group,Experience_Salary
22.0,25000.0,Male,2026-01-10,5000,1,3.5,25000.0,22.0,-0.7650890029191388,0.0,0,1,0,30000.0,2026,1,10,Saturday,Young,25000.0
28.0,35000.0,Female,2026-02-15,7000,3,4.0,35000.0,28.0,-0.5551560448010825,0.1578947368421052,1,0,0,42000.0,2026,2,15,Sunday,Adult,105000.0
35.0,45000.0,Female,2026-03-20,8500,5,4.5,45000.0,35.0,-0.34522308668302615,0.3421052631578947,0,0,1,53500.0,2026,3,20,Friday,Adult,225000.0
42.0,55000.0,Male,2026-04-25,9000,8,4.2,55000.0,42.0,-0.13529012856496983,0.5263157894736841,0,1,0,64000.0,2026,4,25,Saturday,Adult,440000.0
50.0,65000.0,Male,2026-05-12,12000,12,4.8,65000.0,50.0,0.07464282955308653,0.7368421052631577,1,0,0,77000.0,2026,5,12,Tuesday,Senior,780000.0
24.0,61444.444444444445,Female,2026-06-18,6000,2,3.8,61444.444444444445,24.0,-1.5274633050871223e-16,0.05263157894736836,0,0,1,67444.44444444444,2026,6,18,Thursday,Young,122888.88888888889
36.666666666666664,40000.0,Male,2026-07-05,7500,4,4.1,40000.0,36.666666666666664,-0.4501895657420543,0.3859649122807016,1,0,0,47500.0,2026,7,5,Sunday,Adult,160000.0
38.0,50000.0,Male,2026-08-14,10000,7,4.4,50000.0,38.0,-0.240256607623998,0.42105263157894735,1,0,0,60000.0,2026,8,14,Friday,Adult,350000.0
60.0,200000.0,Female,2026-09-22,15000,15,4.9,200000.0,60.0,2.9087377641468475,1.0,0,0,1,215000.0,2026,9,22,Tuesday,Senior,3000000.0
31.0,38000.0,Male,2026-10-30,8000,5,4.0,38000.0,31.0,-0.4921761573656656,0.23684210526315785,0,1,0,46000.0,2026,10,30,Friday,Adult,190000.0
